date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:16:00	857254/857254	---M--	200	added ('OK')	image/png	etag:%22d14a6-6614d8f1-2b8e2ec5791a8138;;;%22	https://richwaycleaning.online/img/a.png	C:/c/c/richwaycleaning.online/img/a.png	(from https://richwaycleaning.online/)
10:16:06	878564/878564	---M--	200	added ('OK')	image/png	etag:%22d67e4-6614d8f1-baa6ecc71152df9a;;;%22	https://richwaycleaning.online/img/g.png	C:/c/c/richwaycleaning.online/img/g.png	(from https://richwaycleaning.online/)
10:16:19	1778822/1778822	---M--	200	added ('OK')	image/png	etag:%221b2486-6614d8f1-f1808f8b450734e9;;;%22	https://richwaycleaning.online/img/t.png	C:/c/c/richwaycleaning.online/img/t.png	(from https://richwaycleaning.online/)
10:16:35	725814/725814	---M--	200	added ('OK')	image/png	etag:%22b1336-6614d8f1-dc19ebbf3e94bfbb;;;%22	https://richwaycleaning.online/img/d.png	C:/c/c/richwaycleaning.online/img/d.png	(from https://richwaycleaning.online/)
10:16:36	3048482/3048482	---M--	200	added ('OK')	image/png	etag:%222e8422-6614d8f1-d3630256d1e2a30a;;;%22	https://richwaycleaning.online/img/s.png	C:/c/c/richwaycleaning.online/img/s.png	(from https://richwaycleaning.online/)
10:16:36	396486/396486	---M--	200	added ('OK')	image/jpeg	etag:%2260cc6-6614d8f1-58e9a27329ce88b2;;;%22	https://richwaycleaning.online/img/4.jpg	C:/c/c/richwaycleaning.online/img/4.jpg	(from https://richwaycleaning.online/)
10:16:37	242491/242491	---M--	200	added ('OK')	image/jpeg	etag:%223b33b-6614d8f1-9ff6b91acba0fdf4;;;%22	https://richwaycleaning.online/img/5.jpg	C:/c/c/richwaycleaning.online/img/5.jpg	(from https://richwaycleaning.online/)
10:16:37	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6602b6b7-954f6b7c7a9a488d;gz%22	https://richwaycleaning.online/Clients-served.html	C:/c/c/richwaycleaning.online/Clients-served.html	(from https://richwaycleaning.online/)
10:16:38	4486/4486	---M--	200	added ('OK')	image/png	etag:%221186-6614d8f1-dea1018b244e0a0a;;;%22	https://richwaycleaning.online/images/teaser-clockopy-cs.png	C:/c/c/richwaycleaning.online/images/teaser-clockopy-cs.png	(from https://richwaycleaning.online/)
10:16:39	66820/66820	---M--	200	added ('OK')	image/jpeg	etag:%2210504-6614d8f1-203cb77eae51ef32;;;%22	https://richwaycleaning.online/images/gallery/07.jpg	C:/c/c/richwaycleaning.online/images/gallery/07.jpg	(from https://richwaycleaning.online/)
10:16:43	319963/319963	---M-Z	200	added ('OK')	application/x-javascript	etag:%224e1db-6614d8f1-6a50f1865c92ce91;gz%22	https://richwaycleaning.online/js/compressed.js	C:/c/c/richwaycleaning.online/js/compressed.js	(from https://richwaycleaning.online/)
10:16:43	76593/76593	---M--	200	added ('OK')	image/jpeg	etag:%2212b31-6614d8f1-5bd4a609deee7363;;;%22	https://richwaycleaning.online/IMG-20240127-WA0026.jpg	C:/c/c/richwaycleaning.online/IMG-20240127-WA0026.jpg	(from https://richwaycleaning.online/)
10:16:47	25275/25275	---M-Z	200	added ('OK')	application/x-javascript	etag:%2262bb-6614d8f1-f1c0573eb26f12cb;gz%22	https://richwaycleaning.online/js/main.js	C:/c/c/richwaycleaning.online/js/main.js	(from https://richwaycleaning.online/)
10:16:49	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-6614d8f1-8a2bfc1f84fa2ac5;gz%22	https://richwaycleaning.online/fonts/glyphicons-halflings-regular.eot	C:/c/c/richwaycleaning.online/fonts/glyphicons-halflings-regular.eot	(from https://richwaycleaning.online/css/bootstrap.min.css)
10:17:03	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-6614d8f1-e4cf64285020ed06;gz%22	https://richwaycleaning.online/fonts/glyphicons-halflings-regulard41d.eot?	C:/c/c/richwaycleaning.online/fonts/glyphicons-halflings-regulard41dd41d.eot	(from https://richwaycleaning.online/css/bootstrap.min.css)
10:17:04	3844292/3844292	---M--	200	added ('OK')	image/png	etag:%223aa8c4-6614d8f1-5c54edcce1d0b6f7;;;%22	https://richwaycleaning.online/img/v.png	C:/c/c/richwaycleaning.online/img/v.png	(from https://richwaycleaning.online/)
10:17:05	18028/18028	---M--	200	added ('OK')	font/woff2	etag:%22466c-6614d8f1-37de1fc13f916bd0;;;%22	https://richwaycleaning.online/fonts/glyphicons-halflings-regular.woff2	C:/c/c/richwaycleaning.online/fonts/glyphicons-halflings-regular.woff2	(from https://richwaycleaning.online/css/bootstrap.min.css)
10:17:05	23424/23424	---M--	200	added ('OK')	application/font-woff	etag:%225b80-6614d8f1-2f5db1119ff36c61;;;%22	https://richwaycleaning.online/fonts/glyphicons-halflings-regular.woff	C:/c/c/richwaycleaning.online/fonts/glyphicons-halflings-regular.woff	(from https://richwaycleaning.online/css/bootstrap.min.css)
10:17:06	45404/45404	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22b15c-6614d8f1-1f1976a3c0ea08b8;gz%22	https://richwaycleaning.online/fonts/glyphicons-halflings-regular.ttf	C:/c/c/richwaycleaning.online/fonts/glyphicons-halflings-regular.ttf	(from https://richwaycleaning.online/css/bootstrap.min.css)
10:17:06	109025/109025	---M-Z	200	added ('OK')	image/svg+xml	etag:%221a9e1-6614d8f1-48503d7f3c742236;gz%22	https://richwaycleaning.online/fonts/glyphicons-halflings-regular.svg	C:/c/c/richwaycleaning.online/fonts/glyphicons-halflings-regular.svg	(from https://richwaycleaning.online/css/bootstrap.min.css)
10:17:06	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6602b6b7-954f6b7c7a9a488d;gz%22	https://richwaycleaning.online/img/youtube-btn.html	C:/c/c/richwaycleaning.online/img/youtube-btn.html	(from https://richwaycleaning.online/css/main.css)
10:17:06	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6602b6b7-954f6b7c7a9a488d;gz%22	https://richwaycleaning.online/img/youtube-btn-hover.html	C:/c/c/richwaycleaning.online/img/youtube-btn-hover.html	(from https://richwaycleaning.online/css/main.css)
10:17:07	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6602b6b7-954f6b7c7a9a488d;gz%22	https://richwaycleaning.online/images/aside_bg.html	C:/c/c/richwaycleaning.online/images/aside_bg.html	(from https://richwaycleaning.online/css/main.css)
10:17:07	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6602b6b7-954f6b7c7a9a488d;gz%22	https://richwaycleaning.online/images/background_section.html	C:/c/c/richwaycleaning.online/images/background_section.html	(from https://richwaycleaning.online/css/main.css)
10:17:07	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6602b6b7-954f6b7c7a9a488d;gz%22	https://richwaycleaning.online/img/preloader.html	C:/c/c/richwaycleaning.online/img/preloader.html	(from https://richwaycleaning.online/css/main.css)
10:17:07	8856/8856	---M--	200	added ('OK')	image/png	etag:%222298-6614d8f1-4e86c856711081d4;;;%22	https://richwaycleaning.online/img/pattern1.png	C:/c/c/richwaycleaning.online/img/pattern1.png	(from https://richwaycleaning.online/css/main.css)
10:17:08	817/817	---M--	200	added ('OK')	image/png	etag:%22331-6614d8f1-5274399c63ab2917;;;%22	https://richwaycleaning.online/img/pattern2.png	C:/c/c/richwaycleaning.online/img/pattern2.png	(from https://richwaycleaning.online/css/main.css)
10:17:08	33702/33702	---M--	200	added ('OK')	image/png	etag:%2283a6-6614d8f1-44fe43a1becd363d;;;%22	https://richwaycleaning.online/img/pattern3.png	C:/c/c/richwaycleaning.online/img/pattern3.png	(from https://richwaycleaning.online/css/main.css)
10:17:08	3738/3738	---M--	200	added ('OK')	image/png	etag:%22e9a-6614d8f1-7ce30c4f4ef62178;;;%22	https://richwaycleaning.online/img/pattern4.png	C:/c/c/richwaycleaning.online/img/pattern4.png	(from https://richwaycleaning.online/css/main.css)
10:17:08	22749/22749	---M--	200	added ('OK')	image/png	etag:%2258dd-6614d8f1-d289c7df0f9f7e26;;;%22	https://richwaycleaning.online/img/pattern5.png	C:/c/c/richwaycleaning.online/img/pattern5.png	(from https://richwaycleaning.online/css/main.css)
10:17:08	51374/51374	---M--	200	added ('OK')	image/png	etag:%22c8ae-6614d8f1-ef1c0ce6f51d0d10;;;%22	https://richwaycleaning.online/img/pattern6.png	C:/c/c/richwaycleaning.online/img/pattern6.png	(from https://richwaycleaning.online/css/main.css)
10:17:09	1175/1175	---M--	200	added ('OK')	image/png	etag:%22497-6614d8f1-e2a3b56ab5c17506;;;%22	https://richwaycleaning.online/img/pattern7.png	C:/c/c/richwaycleaning.online/img/pattern7.png	(from https://richwaycleaning.online/css/main.css)
10:17:09	47535/47535	---M--	200	added ('OK')	image/png	etag:%22b9af-6614d8f1-fed556511e415725;;;%22	https://richwaycleaning.online/img/pattern8.png	C:/c/c/richwaycleaning.online/img/pattern8.png	(from https://richwaycleaning.online/css/main.css)
10:17:10	29908/29908	---M--	200	added ('OK')	image/png	etag:%2274d4-6614d8f1-c235df3b2db31e3f;;;%22	https://richwaycleaning.online/img/pattern10.png	C:/c/c/richwaycleaning.online/img/pattern10.png	(from https://richwaycleaning.online/css/main.css)
10:17:10	288266/288266	---M--	200	added ('OK')	image/png	etag:%224660a-6614d8f1-6be02f0cf8bf26f4;;;%22	https://richwaycleaning.online/img/pattern9.png	C:/c/c/richwaycleaning.online/img/pattern9.png	(from https://richwaycleaning.online/css/main.css)
10:17:11	4200/4200	---M--	200	added ('OK')	image/png	etag:%221068-6614d8f1-b43d609f418c9b5c;;;%22	https://richwaycleaning.online/images/teaser-phone-ds.png	C:/c/c/richwaycleaning.online/images/teaser-phone-ds.png	(from https://richwaycleaning.online/css/main.css)
10:17:11	60588/60588	---M--	200	added ('OK')	image/png	etag:%22ecac-6614d8f1-483754e86bb5cf6b;;;%22	https://richwaycleaning.online/img/pattern11.png	C:/c/c/richwaycleaning.online/img/pattern11.png	(from https://richwaycleaning.online/css/main.css)
10:17:11	4726/4726	---M--	200	added ('OK')	image/png	etag:%221276-6614d8f1-9837f9f8caf32e4e;;;%22	https://richwaycleaning.online/images/teaser-clockopy-ds.png	C:/c/c/richwaycleaning.online/images/teaser-clockopy-ds.png	(from https://richwaycleaning.online/css/main.css)
10:17:13	4962/4962	---M--	200	added ('OK')	image/png	etag:%221362-6614d8f1-c36143c01ddfc76a;;;%22	https://richwaycleaning.online/images/teaser-pointer-ds.png	C:/c/c/richwaycleaning.online/images/teaser-pointer-ds.png	(from https://richwaycleaning.online/css/main.css)
